fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2023-08-15;Segovia;52188;9;2997;487;40004;41.166667,-4.0
2023-08-15;Zamora;58897;6;4237;757;49275;41.75,-6.0
2023-08-15;Soria;35331;9;2296;398;42173;41.666667,-2.666667
2023-08-15;Valladolid;197622;22;13365;1790;47186;41.583333,-4.666667
2023-08-15;León;151311;19;10608;1755;24089;42.666667,-6.0
2023-08-15;Salamanca;119471;22;7538;1275;37274;40.833333,-6.0
2023-08-14;Burgos;129996;17;8308;1189;9059;42.383333,-3.666667
2023-08-14;León;151292;42;10602;1754;24089;42.666667,-6.0
2023-08-14;Palencia;68109;10;4521;762;34120;42.432128,-4.520647
2023-08-14;Segovia;52179;11;2995;486;40004;41.166667,-4.0
2023-08-14;Soria;35322;21;2296;398;42173;41.666667,-2.666667
2023-08-14;Valladolid;197600;35;13361;1788;47186;41.583333,-4.666667
2023-08-14;Ávila;56997;36;3782;655;5019;40.616092,-4.929031
2023-08-14;Salamanca;119449;39;7534;1275;37274;40.833333,-6.0
2023-08-14;Zamora;58891;19;4236;757;49275;41.75,-6.0
2023-08-13;Segovia;52168;3;2995;486;40004;41.166667,-4.0
2023-08-13;Ávila;56961;4;3782;655;5019;40.616092,-4.929031
2023-08-13;León;151250;26;10602;1754;24089;42.666667,-6.0
2023-08-13;Soria;35301;9;2296;398;42173;41.666667,-2.666667
2023-08-13;Zamora;58872;10;4236;757;49275;41.75,-6.0
2023-08-13;Burgos;129979;6;8308;1189;9059;42.383333,-3.666667
2023-08-13;Palencia;68099;8;4521;762;34120;42.432128,-4.520647
2023-08-13;Salamanca;119410;11;7533;1275;37274;40.833333,-6.0
2023-08-13;Valladolid;197565;12;13361;1788;47186;41.583333,-4.666667
2023-08-12;León;151224;22;10601;1754;24089;42.666667,-6.0
2023-08-12;Palencia;68091;12;4521;762;34120;42.432128,-4.520647
2023-08-12;Segovia;52165;6;2995;486;40004;41.166667,-4.0
2023-08-12;Soria;35292;9;2296;398;42173;41.666667,-2.666667
2023-08-12;Ávila;56957;8;3782;655;5019;40.616092,-4.929031
2023-08-12;Valladolid;197553;16;13360;1788;47186;41.583333,-4.666667
2023-08-12;Burgos;129973;11;8307;1189;9059;42.383333,-3.666667
2023-08-12;Salamanca;119399;24;7532;1275;37274;40.833333,-6.0
2023-08-12;Zamora;58862;10;4236;757;49275;41.75,-6.0
2023-08-11;Burgos;129962;16;8303;1189;9059;42.383333,-3.666667
2023-08-11;Palencia;68079;32;4521;762;34120;42.432128,-4.520647
2023-08-11;Soria;35283;15;2294;398;42173;41.666667,-2.666667
2023-08-11;Zamora;58852;33;4235;757;49275;41.75,-6.0
2023-08-11;Segovia;52159;8;2993;485;40004;41.166667,-4.0
2023-08-11;Ávila;56949;13;3777;655;5019;40.616092,-4.929031
2023-08-11;León;151202;49;10599;1754;24089;42.666667,-6.0
2023-08-11;Salamanca;119375;27;7527;1275;37274;40.833333,-6.0
2023-08-11;Valladolid;197537;45;13356;1788;47186;41.583333,-4.666667
2023-08-10;Ávila;56936;29;3777;655;5019;40.616092,-4.929031
2023-08-10;León;151153;35;10599;1754;24089;42.666667,-6.0
2023-08-10;Palencia;68047;7;4520;761;34120;42.432128,-4.520647
2023-08-10;Segovia;52151;3;2993;485;40004;41.166667,-4.0
2023-08-10;Valladolid;197492;18;13356;1788;47186;41.583333,-4.666667
2023-08-10;Burgos;129946;11;8300;1189;9059;42.383333,-3.666667
2023-08-10;Salamanca;119348;20;7526;1275;37274;40.833333,-6.0
2023-08-10;Soria;35268;13;2293;398;42173;41.666667,-2.666667
2023-08-10;Zamora;58819;15;4234;757;49275;41.75,-6.0
2023-08-09;Ávila;56907;12;3777;655;5019;40.616092,-4.929031
2023-08-09;Burgos;129935;14;8295;1189;9059;42.383333,-3.666667
2023-08-09;León;151118;60;10597;1754;24089;42.666667,-6.0
2023-08-09;Palencia;68040;10;4519;761;34120;42.432128,-4.520647
2023-08-09;Soria;35255;10;2293;398;42173;41.666667,-2.666667
2023-08-09;Valladolid;197474;24;13344;1788;47186;41.583333,-4.666667
2023-08-09;Zamora;58804;19;4233;756;49275;41.75,-6.0
2023-08-09;Salamanca;119328;26;7523;1275;37274;40.833333,-6.0
2023-08-09;Segovia;52148;7;2993;485;40004;41.166667,-4.0
2023-08-08;León;151058;42;10595;1754;24089;42.666667,-6.0
2023-08-08;Palencia;68030;9;4519;761;34120;42.432128,-4.520647
2023-08-08;Segovia;52141;4;2993;485;40004;41.166667,-4.0
2023-08-08;Valladolid;197450;25;13342;1788;47186;41.583333,-4.666667
2023-08-08;Burgos;129921;15;8294;1189;9059;42.383333,-3.666667
2023-08-08;Soria;35245;8;2291;398;42173;41.666667,-2.666667
2023-08-08;Zamora;58785;9;4231;756;49275;41.75,-6.0
2023-08-08;Ávila;56895;19;3775;655;5019;40.616092,-4.929031
2023-08-08;Salamanca;119302;18;7522;1275;37274;40.833333,-6.0
2023-08-07;Palencia;68021;5;;;34120;42.432128,-4.520647
2023-08-07;Soria;35237;10;;;42173;41.666667,-2.666667
2023-08-07;Burgos;129906;12;;;9059;42.383333,-3.666667
2023-08-07;Salamanca;119284;21;;;37274;40.833333,-6.0
2023-08-07;Valladolid;197425;30;;;47186;41.583333,-4.666667
2023-08-07;Ávila;56876;10;;;5019;40.616092,-4.929031
2023-08-07;León;151016;48;;;24089;42.666667,-6.0
2023-08-07;Segovia;52137;6;;;40004;41.166667,-4.0
2023-08-07;Zamora;58776;11;;;49275;41.75,-6.0
2023-08-06;Burgos;129894;8;;;9059;42.383333,-3.666667
2023-08-06;Valladolid;197395;16;;;47186;41.583333,-4.666667
2023-08-06;Zamora;58765;12;;;49275;41.75,-6.0
2023-08-06;Ávila;56866;9;;;5019;40.616092,-4.929031
